license_id,brand_name,atc_code,disease_id,disease_name,confidence,mapping_method
SIN02859P,CONSU CAPSULE,N02BA55,5027,epilepsy,0.7,atc_inference
SIN02859P,CONSU CAPSULE,N02BA55,11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331,"migraine with or without aura, susceptibility to",0.7,atc_inference
SIN02859P,CONSU CAPSULE,N02BA55,7344,"cluster headache, familial",0.7,atc_inference
SIN02859P,CONSU CAPSULE,N02BA55,11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167,Parkinson disease,0.7,atc_inference
SIN02859P,CONSU CAPSULE,N02BA55,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,Alzheimer disease,0.7,atc_inference
SIN02859P,CONSU CAPSULE,N02BA55,21011,hereditary progressive chorea without dementia,0.7,atc_inference
SIN02859P,CONSU CAPSULE,N02BA55,5263,unipolar depression,0.7,atc_inference
SIN02859P,CONSU CAPSULE,N02BA55,11918,anxiety,0.7,atc_inference
SIN02859P,CONSU CAPSULE,N02BA55,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,schizophrenia,0.7,atc_inference
SIN02859P,CONSU CAPSULE,N02BA55,4985_693_24613_1866,bipolar disorder,0.7,atc_inference
SIN01907P,BENPINE TABLET 5 mg,N05BA02,5027,epilepsy,0.7,atc_inference
SIN01907P,BENPINE TABLET 5 mg,N05BA02,11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331,"migraine with or without aura, susceptibility to",0.7,atc_inference
SIN01907P,BENPINE TABLET 5 mg,N05BA02,7344,"cluster headache, familial",0.7,atc_inference
SIN01907P,BENPINE TABLET 5 mg,N05BA02,11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167,Parkinson disease,0.7,atc_inference
SIN01907P,BENPINE TABLET 5 mg,N05BA02,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,Alzheimer disease,0.7,atc_inference
SIN01907P,BENPINE TABLET 5 mg,N05BA02,21011,hereditary progressive chorea without dementia,0.7,atc_inference
SIN01907P,BENPINE TABLET 5 mg,N05BA02,5263,unipolar depression,0.7,atc_inference
SIN01907P,BENPINE TABLET 5 mg,N05BA02,11918,anxiety,0.7,atc_inference
SIN01907P,BENPINE TABLET 5 mg,N05BA02,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,schizophrenia,0.7,atc_inference
SIN01907P,BENPINE TABLET 5 mg,N05BA02,4985_693_24613_1866,bipolar disorder,0.7,atc_inference
SIN00424P,DIAPINE TABLET 2 mg,N05BA01,5027,epilepsy,0.7,atc_inference
SIN00424P,DIAPINE TABLET 2 mg,N05BA01,11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331,"migraine with or without aura, susceptibility to",0.7,atc_inference
SIN00424P,DIAPINE TABLET 2 mg,N05BA01,7344,"cluster headache, familial",0.7,atc_inference
SIN00424P,DIAPINE TABLET 2 mg,N05BA01,11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167,Parkinson disease,0.7,atc_inference
SIN00424P,DIAPINE TABLET 2 mg,N05BA01,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,Alzheimer disease,0.7,atc_inference
SIN00424P,DIAPINE TABLET 2 mg,N05BA01,21011,hereditary progressive chorea without dementia,0.7,atc_inference
