license_id,brand_name,ingredient,drugbank_id,potential_indication,similar_drug,similarity_score,source
SIN01907P,BENPINE TABLET 5 mg,CHLORDIAZEPOXIDE HCL,DB00475,anxiety,MEPROBAMATE,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,aspergillosis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,q fever,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,relapsing fever,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,trachoma,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,fungal meningitis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,coccidioidomycosis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,granuloma inguinale,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,black piedra,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,cutaneous candidiasis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,cryptococcosis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,mycotic endocarditis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,ornithosis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,oral candidiasis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,zygomycosis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,anthrax infection,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,candidemia,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,gingivitis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,disseminated sporotrichosis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,candidiasis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,esophageal candidiasis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,mycotic corneal ulcer,NATAMYCIN,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,staphylococcus aureus infection,DIRITHROMYCIN,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,erythrasma,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,gonorrhea,AMPHOTERICIN B,1.0,KG (target similarity)
SIN15826P,ERDOMED DISPERSIBLE TABLETS 300MG,ERDOSTEINE,DB05057,hairy cell leukemia variant,PENTOSTATIN,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,leishmaniasis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,conjunctivitis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,disseminated candidiasis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,chancroid,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,rickettsialpox,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,pneumonia,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,sinusitis,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,yaws,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,typhus,AMPHOTERICIN B,1.0,KG (target similarity)
SIN14870P,BELARA film-coated tablet 0.03mg/2mg,CHLORMADINONE ACETATE,DB13528,spotted fever,AMPHOTERICIN B,1.0,KG (target similarity)
