drugbank_id,drug_name,disease_name,txgnn_score
DB00475,Chlordiazepoxide,insomnia (disease),0.9999799728393555
DB00475,Chlordiazepoxide,cauda equina syndrome,0.9999576807022095
DB00475,Chlordiazepoxide,obsolete neurogenic bladder (disease),0.9997503161430359
DB00475,Chlordiazepoxide,anxiety,0.9997206330299377
DB00475,Chlordiazepoxide,"attention deficit hyperactivity disorder, inattentive type",0.9995598196983337
DB00475,Chlordiazepoxide,alcohol withdrawal delirium,0.9993435740470886
DB00475,Chlordiazepoxide,specific developmental disorder,0.9992885589599609
DB00475,Chlordiazepoxide,"sleep disorder, initiating and maintaining sleep",0.9987693428993225
DB00475,Chlordiazepoxide,antidepressant type abuse,0.9986839890480042
DB00475,Chlordiazepoxide,hallucinogen abuse,0.9986839890480042
DB00475,Chlordiazepoxide,barbiturate abuse,0.9986839890480042
DB00475,Chlordiazepoxide,myofascial pain syndrome,0.9978955984115601
DB00475,Chlordiazepoxide,attention deficit-hyperactivity disorder,0.9970007538795471
DB00475,Chlordiazepoxide,chondromyxoid fibroma,0.9969887137413025
DB00475,Chlordiazepoxide,alcohol withdrawal,0.9965117573738098
DB00475,Chlordiazepoxide,restless legs syndrome,0.9959197044372559
DB00475,Chlordiazepoxide,neuralgia,0.9948246479034424
DB00475,Chlordiazepoxide,irritable bowel syndrome,0.9934110045433044
DB00475,Chlordiazepoxide,faciodigitogenital syndrome,0.9929718375205994
DB00475,Chlordiazepoxide,acute encephalopathy with biphasic seizures and late reduced diffusion,0.992397129535675
DB00475,Chlordiazepoxide,alcohol-related disorders,0.9917199611663818
DB00475,Chlordiazepoxide,visual epilepsy,0.9894724488258362
DB00475,Chlordiazepoxide,neurocirculatory asthenia,0.9892504215240479
DB00475,Chlordiazepoxide,phencyclidine abuse,0.986548125743866
DB00475,Chlordiazepoxide,audiogenic seizures,0.9853282570838928
DB00475,Chlordiazepoxide,eating seizures,0.9853282570838928
DB00475,Chlordiazepoxide,orgasm-induced seizures,0.9853282570838928
DB00475,Chlordiazepoxide,thinking seizures,0.9853282570838928
DB00475,Chlordiazepoxide,startle epilepsy,0.9853282570838928
DB00475,Chlordiazepoxide,micturation-induced seizures,0.9853282570838928
DB00475,Chlordiazepoxide,manic bipolar affective disorder,0.9830218553543091
DB00475,Chlordiazepoxide,reading seizures,0.9821949601173401
DB00475,Chlordiazepoxide,neurohypophyseal diabetes insipidus,0.9792516827583313
DB00475,Chlordiazepoxide,dysthymic disorder,0.9784113168716431
DB00475,Chlordiazepoxide,mixed anxiety and depressive disorder,0.9766104221343994
DB00475,Chlordiazepoxide,neonatal abstinence syndrome,0.9737009406089783
DB00475,Chlordiazepoxide,drug dependence,0.970954179763794
DB00475,Chlordiazepoxide,combined hyperactive dysfunction syndrome of the cranial nerves,0.9708049297332764
DB00475,Chlordiazepoxide,facial neuralgia,0.9706665277481079
DB00475,Chlordiazepoxide,anxiety disorder,0.9702183604240417
DB00475,Chlordiazepoxide,inherited neurodegenerative disorder,0.9674482345581055
DB00475,Chlordiazepoxide,papillary conjunctivitis,0.9602266550064087
DB00475,Chlordiazepoxide,benign paroxysmal torticollis of infancy,0.9599788188934326
DB00475,Chlordiazepoxide,agoraphobia,0.9588785171508789
DB00475,Chlordiazepoxide,Wernicke-Korsakoff syndrome,0.9540616273880005
DB00475,Chlordiazepoxide,orthostatic hypotension,0.9534854888916016
DB00475,Chlordiazepoxide,Asperger syndrome,0.9511171579360962
DB00475,Chlordiazepoxide,glossodynia,0.9435895085334778
DB00475,Chlordiazepoxide,coccygodynia,0.9418194890022278
DB00475,Chlordiazepoxide,migraine with brainstem aura,0.9377920627593994
DB00829,Diazepam,insomnia (disease),0.9999974966049194
DB00829,Diazepam,cauda equina syndrome,0.9998718500137329
DB00829,Diazepam,alcohol withdrawal delirium,0.9997817873954773
DB00829,Diazepam,"sleep disorder, initiating and maintaining sleep",0.9997279047966003
DB00829,Diazepam,anxiety,0.9997153878211975
DB00829,Diazepam,"attention deficit hyperactivity disorder, inattentive type",0.9996833801269531
DB00829,Diazepam,antidepressant type abuse,0.9995425939559937
DB00829,Diazepam,hallucinogen abuse,0.9995425939559937
DB00829,Diazepam,barbiturate abuse,0.9995425939559937
DB00829,Diazepam,specific developmental disorder,0.9994713664054871
DB00829,Diazepam,attention deficit-hyperactivity disorder,0.9993244409561157
DB00829,Diazepam,alcohol withdrawal,0.9992004036903381
DB00829,Diazepam,obsolete neurogenic bladder (disease),0.9991262555122375
DB00829,Diazepam,acute encephalopathy with biphasic seizures and late reduced diffusion,0.9988651275634766
DB00829,Diazepam,myofascial pain syndrome,0.9987674951553345
DB00829,Diazepam,chondromyxoid fibroma,0.998730480670929
DB00829,Diazepam,faciodigitogenital syndrome,0.9985061287879944
DB00829,Diazepam,alcohol-related disorders,0.9968949556350708
DB00829,Diazepam,visual epilepsy,0.9967882633209229
DB00829,Diazepam,phencyclidine abuse,0.9961231350898743
DB00829,Diazepam,neuralgia,0.9956871867179871
DB00829,Diazepam,audiogenic seizures,0.9954578876495361
DB00829,Diazepam,eating seizures,0.9954578876495361
DB00829,Diazepam,orgasm-induced seizures,0.9954578876495361
DB00829,Diazepam,thinking seizures,0.9954578876495361
DB00829,Diazepam,startle epilepsy,0.9954578876495361
DB00829,Diazepam,micturation-induced seizures,0.9954578876495361
DB00829,Diazepam,obsessive-compulsive disorder,0.9951281547546387
DB00829,Diazepam,reading seizures,0.9947750568389893
DB00829,Diazepam,irritable bowel syndrome,0.9941748976707458
DB00829,Diazepam,papillary conjunctivitis,0.9936536550521851
DB00829,Diazepam,restless legs syndrome,0.9929661750793457
DB00829,Diazepam,schizotypal personality disorder,0.9923250675201416
DB00829,Diazepam,schizoid personality disorder,0.9923250675201416
DB00829,Diazepam,paranoid personality disorder,0.9923250675201416
DB00829,Diazepam,histrionic personality disorder (disease),0.9923250675201416
DB00829,Diazepam,Wernicke-Korsakoff syndrome,0.9923055768013
DB00829,Diazepam,drug dependence,0.9914754629135132
DB00829,Diazepam,facial neuralgia,0.9910900592803955
DB00829,Diazepam,combined hyperactive dysfunction syndrome of the cranial nerves,0.9909194707870483
DB00829,Diazepam,neonatal abstinence syndrome,0.9894381761550903
DB00829,Diazepam,agoraphobia,0.9886520504951477
DB00829,Diazepam,anxiety disorder,0.9882583618164062
DB00829,Diazepam,benign paroxysmal torticollis of infancy,0.9871644973754883
DB00829,Diazepam,Asperger syndrome,0.9871256947517395
DB00829,Diazepam,migraine with brainstem aura,0.9864668250083923
DB00829,Diazepam,migraine disorder,0.9842386841773987
DB00829,Diazepam,neurohypophyseal diabetes insipidus,0.9830854535102844
DB00829,Diazepam,Tourette syndrome,0.9825602173805237
DB00829,Diazepam,neurocirculatory asthenia,0.9819756150245667
DB00321,Amitriptyline,anxiety disorder,0.9849012494087219
DB00321,Amitriptyline,dysthymic disorder,0.9808776378631592
DB00321,Amitriptyline,benign paroxysmal torticollis of infancy,0.9772295951843262
DB00321,Amitriptyline,endogenous depression,0.9770968556404114
DB00321,Amitriptyline,agoraphobia,0.9726698398590088
DB00321,Amitriptyline,major depressive disorder,0.9685148000717163
DB00321,Amitriptyline,Ohdo syndrome and variants,0.9595122933387756
DB00321,Amitriptyline,melancholia,0.9552022218704224
DB00321,Amitriptyline,neurotic depression,0.9548153877258301
DB00321,Amitriptyline,phobic disorder,0.9468377232551575
DB00321,Amitriptyline,unipolar depression,0.9461325407028198
DB00321,Amitriptyline,"blepharophimosis - intellectual disability syndrome, Ohdo type",0.9447351098060608
DB00321,Amitriptyline,Keppen-Lubinsky syndrome,0.9366812109947205
DB00321,Amitriptyline,neurotic disorder,0.9302772879600525
DB00321,Amitriptyline,obsessive-compulsive disorder,0.9278315901756287
DB00321,Amitriptyline,manic bipolar affective disorder,0.9190496206283569
DB00321,Amitriptyline,ligneous conjunctivitis,0.9140364527702332
DB00321,Amitriptyline,congenital isolated adrenocorticotropic hormone deficiency (disease),0.9095020890235901
DB00321,Amitriptyline,autosomal dominant slowed nerve conduction velocity,0.9008537530899048
DB00321,Amitriptyline,mixed anxiety and depressive disorder,0.8964524865150452
DB00321,Amitriptyline,schizotypal personality disorder,0.8940666317939758
DB00321,Amitriptyline,schizoid personality disorder,0.8940666317939758
DB00321,Amitriptyline,paranoid personality disorder,0.8940666317939758
DB00321,Amitriptyline,histrionic personality disorder (disease),0.8940666317939758
DB00321,Amitriptyline,myofascial pain syndrome,0.8821637630462646
DB00321,Amitriptyline,childhood apraxia of speech,0.8820449113845825
DB00321,Amitriptyline,chondromyxoid fibroma,0.8800638318061829
DB00321,Amitriptyline,vitamin B12-responsive methylmalonic acidemia,0.8792212605476379
DB00321,Amitriptyline,"attention deficit hyperactivity disorder, inattentive type",0.8778199553489685
DB00321,Amitriptyline,attention deficit-hyperactivity disorder,0.8598113059997559
DB00321,Amitriptyline,specific developmental disorder,0.8494913578033447
DB00321,Amitriptyline,"surfactant metabolism dysfunction, pulmonary",0.8464176058769226
DB00321,Amitriptyline,migraine with brainstem aura,0.8109744191169739
DB00321,Amitriptyline,faciodigitogenital syndrome,0.7860683798789978
DB00321,Amitriptyline,migraine disorder,0.7825294733047485
DB00321,Amitriptyline,chromosome 15q26-qter deletion syndrome,0.7785643339157104
DB00321,Amitriptyline,bipolar disorder,0.763695478439331
DB00321,Amitriptyline,dependent personality disorder,0.7566977143287659
DB00321,Amitriptyline,avoidant personality disorder,0.7505781054496765
DB00321,Amitriptyline,narcissistic personality disorder,0.7373003363609314
DB00321,Amitriptyline,major affective disorder,0.7301487326622009
DB00321,Amitriptyline,transient tic disorder,0.7200057506561279
DB00321,Amitriptyline,distal 17p13.3 microdeletion syndrome,0.6505839228630066
DB00321,Amitriptyline,schizophrenia,0.6294777393341064
DB00321,Amitriptyline,nicotine dependence,0.6052280068397522
DB00321,Amitriptyline,communication disorder,0.6032228469848633
DB00321,Amitriptyline,stereotypic movement disorder,0.5990381240844727
DB00321,Amitriptyline,fetal nicotine spectrum disorder,0.5990381240844727
DB00321,Amitriptyline,trichotillomania,0.5929709076881409
DB00321,Amitriptyline,Asperger syndrome,0.58643639087677
DB00446,Chloramphenicol,paratyphoid fever,0.9990748167037964
DB00446,Chloramphenicol,conjunctivitis,0.9965805411338806
DB00446,Chloramphenicol,diffuse scleroderma,0.9964916110038757
DB00446,Chloramphenicol,postinfectious vasculitis,0.995762288570404
DB00446,Chloramphenicol,post-bacterial disorder,0.9957385063171387
DB00446,Chloramphenicol,post-infectious syndrome,0.9955697655677795
DB00446,Chloramphenicol,otitis externa,0.9953717589378357
DB00446,Chloramphenicol,infective urethral stricture,0.9952123165130615
DB00446,Chloramphenicol,Chagas cardiomyopathy,0.9950610995292664
DB00446,Chloramphenicol,infection-related hemolytic uremic syndrome,0.9950175881385803
DB00446,Chloramphenicol,salmonellosis,0.994572103023529
DB00446,Chloramphenicol,punctate epithelial keratoconjunctivitis,0.9917077422142029
DB00446,Chloramphenicol,chronic rhinosinusitis,0.9836244583129883
DB00446,Chloramphenicol,chronic ethmoidal sinusitis,0.9834797382354736
